"Date","Occurences"
"2018-10-19","7"
"2018-10-18","5"
"2018-10-13","8"
"2018-10-11","0"
"2018-10-11","0"
"2018-10-11","0"
"2018-10-11","2"
"2018-10-11","13"
"2018-10-11","14"
"2018-10-06","0"
"2018-10-04","13"
"2018-10-04","10"
"2018-10-04","3"
"2018-10-04","7"
"2018-10-04","10"
"2018-10-01","0"
"2018-09-29","2"
"2018-09-29","10"
"2018-09-29","2"
"2018-09-27","3"
"2018-09-27","1"
"2018-09-27","1"
"2018-09-27","1"
"2018-09-27","0"
"2018-09-22","1"
"2018-09-20","4"
"2018-09-20","8"
"2018-09-20","1"
"2018-09-20","2"
"2018-09-20","5"
"2018-09-20","3"
"2018-09-20","1"
"2018-09-20","0"
"2018-09-15","7"
"2018-09-14","3"
"2018-09-13","6"
"2018-09-13","1"
"2018-09-13","6"
"2018-09-13","13"
"2018-09-13","3"
"2018-09-13","2"
"2018-09-08","0"
"2018-09-08","4"
"2018-09-06","1"
"2018-09-06","4"
"2018-09-06","4"
"2018-09-06","23"
"2018-09-06","22"
"2018-09-01","1"
"2018-09-01","12"
"2018-09-01","4"
"2018-09-01","1"
"2018-08-30","1"
"2018-08-30","4"
"2018-08-23","1"
"2018-08-23","9"
"2018-08-23","2"
"2018-08-23","0"
"2018-08-23","1"
"2018-08-18","1"
"2018-08-18","0"
"2018-08-18","0"
"2018-08-18","19"
"2018-08-18","1"
"2018-08-18","5"
"2018-08-18","6"
"2018-08-18","0"
"2018-08-11","3"
"2018-08-11","2"
"2018-08-18","6"
"2018-08-18","0"
"2018-08-11","3"
"2018-08-11","2"
"2018-08-11","7"
"2018-08-11","0"
"2018-08-10","4"
"2018-08-09","3"
"2018-08-09","0"
"2018-08-09","4"
"2018-08-04","7"
"2018-08-04","0"
"2018-07-26","2"
"2018-07-26","1"
"2018-07-26","1"
"2018-07-26","3"
"2018-07-26","3"
"2018-07-26","9"
"2018-07-26","0"
"2018-07-21","7"
"2018-07-19","9"
"2018-07-19","0"
"2018-07-19","0"
"2018-07-19","6"
"2018-07-19","9"
"2018-07-19","0"
"2018-07-19","0"
"2018-07-19","6"
"2018-07-19","4"
"2018-07-19","1"
"2018-07-14","7"
"2018-07-12","2"
"2018-07-12","2"
"2018-07-12","2"
"2018-07-12","1"
"2018-07-12","11"
"2018-07-12","3"
"2018-07-07","0"
"2018-07-07","4"
"2018-07-05","4"
"2018-07-05","0"
"2018-07-05","10"
"2018-07-05","13"
"2018-07-05","2"
"2018-06-30","8"
"2018-06-30","3"
"2018-06-30","7"
"2018-06-30","2"
"2018-06-28","8"
"2018-06-28","0"
"2018-06-23","12"
"2018-06-23","1"
"2018-06-23","0"
"2018-06-23","0"
"2018-06-21","13"
"2018-06-21","2"
"2018-06-21","5"
"2018-06-21","3"
"2018-06-21","0"
"2018-06-14","10"
"2018-06-14","0"
"2018-06-14","7"
"2018-06-14","1"
"2018-06-14","0"
"2018-06-14","2"
"2018-06-14","1"
"2018-06-14","11"
"2018-06-14","4"
"2018-06-10","0"
"2018-06-09","4"
"2018-06-08","8"
"2018-06-07","1"
"2018-06-10","0"
"2018-06-09","4"
"2018-06-08","8"
"2018-06-07","1"
"2018-06-07","2"
"2018-06-07","0"
"2018-06-07","2"
"2018-06-07","3"
"2018-06-07","0"
"2018-06-07","3"
"2018-06-02","2"
"2018-06-01","5"
"2018-05-31","1"
"2018-05-31","2"
"2018-05-26","0"
"2018-05-26","1"
"2018-05-26","3"
"2018-05-26","1"
"2018-05-26","0"
"2018-05-26","6"
"2018-05-26","10"
"2018-05-26","2"
"2018-05-24","2"
"2018-05-24","1"
"2018-05-26","6"
"2018-05-26","10"
"2018-05-26","2"
"2018-05-24","2"
"2018-05-24","1"
"2018-05-19","1"
"2018-05-19","11"
"2018-05-19","0"
"2018-05-19","15"
"2018-05-17","0"
"2018-05-17","8"
"2018-05-17","1"
"2018-05-17","3"
"2018-05-17","0"
"2018-05-17","3"
"2018-05-12","3"
"2018-05-10","2"
"2018-05-10","12"
"2018-05-10","19"
"2018-05-10","1"
"2018-05-10","0"
"2018-05-10","2"
"2018-05-10","1"
"2018-05-10","0"
"2018-05-10","5"
"2018-05-05","8"
"2018-05-04","10"
"2018-05-03","0"
"2018-05-03","0"
"2018-05-03","2"
"2018-05-03","2"
"2018-05-03","1"
"2018-05-03","8"
"2018-05-03","1"
"2018-05-03","2"
"2018-05-03","0"
"2018-04-26","0"
"2018-04-26","10"
"2018-04-26","2"
"2018-04-26","10"
"2018-04-26","2"
"2018-04-26","2"
"2018-04-26","1"
"2018-04-26","7"
"2018-04-26","0"
"2018-04-21","0"
"2018-04-21","7"
"2018-04-21","1"
"2018-04-19","10"
"2018-04-19","1"
"2018-04-19","6"
"2018-04-18","0"
"2018-04-17","11"
"2018-04-14","1"
"2018-04-14","2"
"2018-04-14","5"
"2018-04-14","1"
"2018-04-14","8"
"2018-04-12","4"
"2018-04-12","7"
"2018-04-12","2"
"2018-04-12","0"
"2018-04-07","3"
"2018-04-05","6"
"2018-04-05","2"
